name,model,size,price,rating,review_count,images,highlights,description,features,sub_category,category,parent_category,,,sub_cat_formula,,,,des_heading,des_body,,,,,,,,,,description_formula
BRAVIA Theatre U,None,None,"['Rs.29,990']",3.3,3,"['https://sony.scene7.com/is/image/sonyglobalsolutions/HAVFY24_NS2_0_insitu_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/HAVFY24_NS2_1_main_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/HAVFY24_NS2_2_front_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/HAVFY24_NS2_3_front_thin_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/HAVFY24_NS2_4_front_thick_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/HAVFY24_NS2_5_left_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/HAVFY24_NS2_6_rear-a_D?$productIntroPlatedesktop$&fmt=png-alpha']",BRAVIA Theatre U | Wireless Neckband Speaker | Dolby Atmos®,"[""Wearable cinematic bliss:\nBRAVIA Theatre U is a personal speaker that immerses you in movies without disturbing others. Combine our sleek wireless neckband speaker with Dolby Atmos® and a compatible BRAVIA for immersive 360 Spatial Sound, and enjoy powerful soundtracks and crystal-clear dialogue. You can even pair with another BRAVIA Theatre U to share the experience.\n""]","['A whole new surround experience with 360 Spatial Sound Personaliser', 'Immersive sound for you and a friend using dual BRAVIA Theatre U speakers by Speaker Add function', 'Low latency gaming with the supplied wired connection', 'Clear hands-free calls with Precise Voice Pickup Technology', 'IPX4 splash-proof design for worry-free entertainment while doing household chores', 'Switch between PC web conferencing and smartphone calls with Multipoint connection']","['Portable', 'Neckband Speakers']",Wireless Speakers,Audio,,,"['Portable', 'Neckband Speakers']",,,,Wearable cinematic bliss,"BRAVIA Theatre U is a personal speaker that immerses you in movies without disturbing others. Combine our sleek wireless neckband speaker with Dolby Atmos® and a compatible BRAVIA for immersive 360 Spatial Sound, and enjoy powerful soundtracks and crystal-clear dialogue. You can even pair with another BRAVIA Theatre U to share the experience.",,,,,,,,,,"[""Wearable cinematic bliss:\nBRAVIA Theatre U is a personal speaker that immerses you in movies without disturbing others. Combine our sleek wireless neckband speaker with Dolby Atmos® and a compatible BRAVIA for immersive 360 Spatial Sound, and enjoy powerful soundtracks and crystal-clear dialogue. You can even pair with another BRAVIA Theatre U to share the experience.\n""]"
HT-S2000,None,None,"['Rs.51,990']",4.3,45,"['https://sony.scene7.com/is/image/sonyglobalsolutions/CE2_primarytout_D?$productIntroPlatedesktop$', 'https://sony.scene7.com/is/image/sonyglobalsolutions/D_01_HT-S2000_main?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/D_02_HT-S2000_front?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/D_3_HT-S2000_thumbnail?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/D_04_HT-S2000_top?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/D_05_HT-S2000_rear_A_E?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/D_06_HT-S2000_TV?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/D_07_HT-S2000_HT-S400_Remo?$productIntroPlatedesktop$&fmt=png-alpha']",Dolby AtmosÂ®/DTS:XÂ® 3.1ch Soundbar | HT-S2000,"[""Surround sound, whatever you watch:\nThis 3.1ch Dolby Atmos® / DTS:X® soundbar features powerful, cinematic surround sound. Thanks to a newly developed upmixer, this soundbar delivers a three-dimensional surround experience even when you’re playing stereo content, like TV dramas, streamed music, and more. The centre speaker ensures clear dialogue, while the built-in dual subwoofer delivers you deep bass. \n""]","['Cinematic surround sound with Dolby AtmosÂ® and DTS:XÂ®', 'S-Force PRO Front Surround and Vertical Surround Engine for multi-dimensional sound', 'New upmixer elevates all stereo content to three-dimensional surround sound', 'Simple 3.1ch soundbar with built-in dual subwoofer', 'Easy setup with one-cable-connection and smartphone app to guide your initial settings']",['Soundbars'],Home Theatre and Sound Bars,Audio,,,['Soundbars'],,,,"Surround sound, whatever you watch","This 3.1ch Dolby Atmos® / DTS:X® soundbar features powerful, cinematic surround sound. Thanks to a newly developed upmixer, this soundbar delivers a three-dimensional surround experience even when you’re playing stereo content, like TV dramas, streamed music, and more. The centre speaker ensures clear dialogue, while the built-in dual subwoofer delivers you deep bass. ",,,,,,,,,,"[""Surround sound, whatever you watch:\nThis 3.1ch Dolby Atmos® / DTS:X® soundbar features powerful, cinematic surround sound. Thanks to a newly developed upmixer, this soundbar delivers a three-dimensional surround experience even when you’re playing stereo content, like TV dramas, streamed music, and more. The centre speaker ensures clear dialogue, while the built-in dual subwoofer delivers you deep bass. \n""]"
INZONE Buds,None,None,"['Rs.22,990']",4.5,21,"['https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_00?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_01-6?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_02-6?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_03-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_04-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_05-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_06-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_07-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_08-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_09?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_10?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_11?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_12?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-Plate_Desktop_13?$productIntroPlatedesktop$&fmt=png-alpha']",INZONE Buds Truly Wireless Noise Cancelling Gaming Earbuds,"[""Your compact competitive edge:\nINZONE Buds are designed for serious gaming with long battery life and low latency with the included USB-C dongle. They can also be directly connected to your Android smartphone with LE Audio (Regular Bluetooth is not supported).\n""]","['360 Spatial Sound for Gaming and advanced personalisation shaped to your ear', 'Cancels out the background, so you can focus on the game', 'Truly wireless Buds with lighter ear contact for increased comfort', 'Up to 12 hours of battery for longer gaming sessions', 'An AI-assisted microphone helps your voice cut through the in-game sound']",['Gaming'],Headphones,Audio,,,['Gaming'],,,,Your compact competitive edge,INZONE Buds are designed for serious gaming with long battery life and low latency with the included USB-C dongle. They can also be directly connected to your Android smartphone with LE Audio (Regular Bluetooth is not supported).,,,,,,,,,,"[""Your compact competitive edge:\nINZONE Buds are designed for serious gaming with long battery life and low latency with the included USB-C dongle. They can also be directly connected to your Android smartphone with LE Audio (Regular Bluetooth is not supported).\n""]"
INZONE H3,None,None,"['Rs.9,9901']",4.5,28,"['https://www.sony.co.in/image/39bf4d07b80f99034f09db5d7644e036?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/b3cf69690ec0d3f5ebfdad6463937ea7?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/8c65cb7f6fbbd7d976b29002d3cb36ab?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/183b7ead44077e1909390f91ba03db8c?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/e45a967e8f43e666f62078ec97e3038a?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']",INZONE H3 Wired Gaming Headset,"[""Hear better, win more:\nThe INZONE H3 headset is stylish, comfortable and comes complete with excellent sound quality. 360 Spatial Sound for Gaming lets you hear even more precisely and detect targets or opponents faster than ever before. \n""]","['360 Spatial Sound for Gaming for precise rival detection ', 'Soft headband cushion and smooth nylon ear pads for wearing comfort ', 'Boom microphone for seamless team communication ', 'Easy operation with multiple control buttons ', 'Customise settings using INZONE Hub PC software ']",['Gaming'],Headphones,Audio,,,['Gaming'],,,,"Hear better, win more","The INZONE H3 headset is stylish, comfortable and comes complete with excellent sound quality. 360 Spatial Sound for Gaming lets you hear even more precisely and detect targets or opponents faster than ever before. ",,,,,,,,,,"[""Hear better, win more:\nThe INZONE H3 headset is stylish, comfortable and comes complete with excellent sound quality. 360 Spatial Sound for Gaming lets you hear even more precisely and detect targets or opponents faster than ever before. \n""]"
INZONE H5,None,None,"['Rs.19,990']",4.9,19,"['https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-15?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-9-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-8-4?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-5-8?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-3-10?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-11?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-10-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-13?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-12?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/d-Product-Intro-Plate-14?$productIntroPlatedesktop$&fmt=png-alpha']",INZONE H5 Wireless Gaming Headset,"[""Game harder, for longer:\nWith a light-weight build and lower side pressure, the INZONE H5 is ready for even your longest gaming sessions. And with advanced spatial reproduction to keep you immersed, and a microphone that makes sure you're heard, you'll be well on your way to victory.\n""]","['Precise rival detection with 360 Spatial Sound for Gaming', 'Light 260 g total weight and low-pressure fit', 'Bidirectional boom microphone with AI-based noise reduction technology', '28 hours of battery\xa0', 'Wireless or wired listening options']",['Gaming'],Headphones,Audio,,,['Gaming'],,,,"Game harder, for longer","With a light-weight build and lower side pressure, the INZONE H5 is ready for even your longest gaming sessions. And with advanced spatial reproduction to keep you immersed, and a microphone that makes sure you're heard, you'll be well on your way to victory.",,,,,,,,,,"[""Game harder, for longer:\nWith a light-weight build and lower side pressure, the INZONE H5 is ready for even your longest gaming sessions. And with advanced spatial reproduction to keep you immersed, and a microphone that makes sure you're heard, you'll be well on your way to victory.\n""]"
LinkBuds Open,None,None,"['Rs.26,990']",4.4,28,"[‘https://m.media-amazon.com/images/I/51CzU0oh-GL._SL1500_.jpg’, ‘https://m.media-amazon.com/images/I/61gsOIXDlNL._SL1500_.jpg’]",LinkBuds Open,"[""Stay connected in the moment:\nExperience a new kind of earphones, with an open ring design that keeps you connected to your surroundings. The new and light Air Fitting Supporters for LinkBuds Open provide all-day wearing comfort. Available in a range of colours to match your style.\n""]","[
    'Open ring design keeps you connected to your surroundings while delivering high-fidelity sound.',
    'New Air Fitting Supporters offer lightweight, ergonomic comfort for all-day wear.',
    'Choose from a range of colours, Fitting Supporters, and Case Covers to match your style.',
    '11 mm ring-shaped driver and Integrated Processor V2 provide clear, balanced audio.',
    'Adaptive Volume Control adjusts sound levels based on your environment for optimal listening.',
    'Digital Sound Enhancement Engine (DSEE™) restores compressed audio for rich, detailed sound.',
    'Precise voice pickup and AI-powered noise reduction ensure ultra-clear calls, even in noisy places.',
    'Head tracking adjusts sound fields to your movements for a realistic, immersive experience.',
    '360 Spatial Sound Personalizer app customises spatial audio based on your ear shape.',
    'Auto Play starts music or notifications automatically, tailored to your daily routines and activities.'
]","['Truly Wireless', 'Water Resistant']",Headphones,Audio,,,"['Truly Wireless', 'Water Resistant']",,,,Stay connected in the moment,"Experience a new kind of earphones, with an open ring design that keeps you connected to your surroundings. The new and light Air Fitting Supporters for LinkBuds Open provide all-day wearing comfort. Available in a range of colours to match your style.",,,,,,,,,,"[""Stay connected in the moment:\nExperience a new kind of earphones, with an open ring design that keeps you connected to your surroundings. The new and light Air Fitting Supporters for LinkBuds Open provide all-day wearing comfort. Available in a range of colours to match your style.\n""]"
LinkBuds S,None,None,"['Rs.24,9901']",4,228,['https://www.sony.co.in/image/c0d5f94fb6eaca7bf75bffe64874c195?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF'],LinkBuds S,"[""Keep every world on:\nLinkBuds series are comfortable enough to wear all the time and smart so they adapt to your life – keeping you connected to the people and entertainment you love.\n""]","['Always on for connecting your online and offline worlds ', 'Automatically switches between optimised ambient sound and noise cancelling ', 'Ultra-small, lightweight and super fit ', 'Immersive music and clear calls ', '20 hours battery life with a 5-minute quick charge for up to 60 minutes of play time ']","['Noise Cancelling', 'Wireless', 'Water Resistant']",Headphones,Audio,,,"['Noise Cancelling', 'Wireless', 'Water Resistant']",,,,Keep every world on,LinkBuds series are comfortable enough to wear all the time and smart so they adapt to your life – keeping you connected to the people and entertainment you love.,,,,,,,,,,"[""Keep every world on:\nLinkBuds series are comfortable enough to wear all the time and smart so they adapt to your life – keeping you connected to the people and entertainment you love.\n""]"
MDR-EX14AP / 15AP ,None,None,"['Rs.1,2901']",3.5,19,"['https://www.sony.co.in/image/907417c102de80c45058b7d9f0f6584e?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/d083c8e3ec15ff02969e28d305dbb870?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b3f5ea3cd3ac7f06787c94b465596767?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/33e4a103552e7f50d0090318fb6c8ce4?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/80ba67b3ed333041dc45c76092dad536?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']",MDR-EX14AP / 15AP In-ear Headphones,"[""Experience Superior Sound with the Stylish and Comfortable Earbuds:\nEnjoy your music on the go with our comfortable, secure-fitting silicone earbuds. Designed for ultimate portability, these lightweight earbuds deliver powerful, balanced sound through 9mm neodymium drivers. With a wide frequency range of 8 Hz–22 kHz, you’ll experience every note with clarity. Choose from a variety of colors to match your style and take your music wherever you go.\n""]","['Comfortable, secure-fitting silicone earbuds ', 'Lightweight for ultimate music mobility ', 'Choice of colours to suit your style ', '9 mm neodymium drivers for powerful, balanced sound ', '8 Hz–22 kHz frequency range ']",['In-Ear'],Headphones,Audio,,,['In-Ear'],,,,Experience Superior Sound with the Stylish and Comfortable Earbuds,"Enjoy your music on the go with our comfortable, secure-fitting silicone earbuds. Designed for ultimate portability, these lightweight earbuds deliver powerful, balanced sound through 9mm neodymium drivers. With a wide frequency range of 8 Hz–22 kHz, you’ll experience every note with clarity. Choose from a variety of colors to match your style and take your music wherever you go.",,,,,,,,,,"[""Experience Superior Sound with the Stylish and Comfortable Earbuds:\nEnjoy your music on the go with our comfortable, secure-fitting silicone earbuds. Designed for ultimate portability, these lightweight earbuds deliver powerful, balanced sound through 9mm neodymium drivers. With a wide frequency range of 8 Hz–22 kHz, you’ll experience every note with clarity. Choose from a variety of colors to match your style and take your music wherever you go.\n""]"
MDR-M1,None,None,"['Rs.39,990']",5,1,"['/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-01.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-02.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-03.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-04.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-05.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-06.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-07.png']",MDR-M1 Closed Monitor Headphones,"[""Closed Monitor Headphones:\nReference closed monitor headphones for creators, with ultra-wideband playback.\n""]","['Studio reference quality for a wide range of audio production workflows', 'Excellent wearing comfort', 'For professional stereo and High-Resolution Audio monitoring', 'Carefully tuned closed acoustic structure', 'Exclusively developed driver units', 'Detachable cables for professional functionality and reliability']",['Headband'],Headphones,Audio,,,['Headband'],,,,Closed Monitor Headphones,"Reference closed monitor headphones for creators, with ultra-wideband playback.",,,,,,,,,,"[""Closed Monitor Headphones:\nReference closed monitor headphones for creators, with ultra-wideband playback.\n""]"
ICD-PX470,None,None,"['Rs.5,9901']",4.5,36,"['https://www.sony.co.in/image/d453b263bb16d76bfe337e379c560bd2?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/257292e8455d374e27ae355747c59029?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/1a5a4406f8e8756b18a2b9ccf8dd4486?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/91f447d53fe9c0cea45d95df4dc0f311?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/df6c05df13d3946449e88c2492ec6d0f?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/672faf7f924af97b97574b3ea1f44b98?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']",PX470 Digital Voice Recorder PX Series,"[""Capture Every Detail with the ICD-PX470 Voice Recorder:\nRecord sounds and voices with exceptional clarity using the ICD-PX470. Featuring a 4 GB internal memory, expandable up to 32 GB with a micro SD card, this recorder ensures you have ample space for long recordings. The advanced S-microphone system captures distant or quiet sounds clearly, while Focus and Wide-Stereo recording modes help you target specific audio sources. Additionally, Auto Voice Recording technology reduces background noise for crisp, clear audio every time. Perfect for capturing lectures, interviews, and more!\n""]","['4 GB internal memory, expandable to 32 GB with micro SD ', 'S-microphone system records distant or quiet sounds clearly ', 'Focus and Wide-Stereo recording captures the voices you want to hear ', 'Auto voice recording reduces background noise ', 'Built-in USB connector makes transferring files easy ']",['Voice Memo Recorders'],Digital Voice Recorders,Audio,,,['Voice Memo Recorders'],,,,Capture Every Detail with the ICD-PX470 Voice Recorder,"Record sounds and voices with exceptional clarity using the ICD-PX470. Featuring a 4 GB internal memory, expandable up to 32 GB with a micro SD card, this recorder ensures you have ample space for long recordings. The advanced S-microphone system captures distant or quiet sounds clearly, while Focus and Wide-Stereo recording modes help you target specific audio sources. Additionally, Auto Voice Recording technology reduces background noise for crisp, clear audio every time. Perfect for capturing lectures, interviews, and more!",,,,,,,,,,"[""Capture Every Detail with the ICD-PX470 Voice Recorder:\nRecord sounds and voices with exceptional clarity using the ICD-PX470. Featuring a 4 GB internal memory, expandable up to 32 GB with a micro SD card, this recorder ensures you have ample space for long recordings. The advanced S-microphone system captures distant or quiet sounds clearly, while Focus and Wide-Stereo recording modes help you target specific audio sources. Additionally, Auto Voice Recording technology reduces background noise for crisp, clear audio every time. Perfect for capturing lectures, interviews, and more!\n""]"
SA-D40M2,None,None,"['Rs.13,990']",0,0,[‘https://m.media-amazon.com/images/I/81cKrOHbENL._SL1500_.jpg’],SA-D40M2 Powerful 100W Multimedia Speaker System,"[""Powerful 100W Multimedia Speaker System:\nEnjoy your favourite content with enhanced sound and powerful bass with this Multimedia Speaker System.\n""]","['4.1ch system with 100 W total power output', 'Supplied with remote control', 'High-capacity subwoofer for powerful bass sound', 'Enjoy easy wireless connectivity with BluetoothÂ®2', 'USB and analogue audio input']",['Home Theatre Speakers'],Home Theatre and Sound Bars,Audio,,,['Home Theatre Speakers'],,,,Powerful 100W Multimedia Speaker System,Enjoy your favourite content with enhanced sound and powerful bass with this Multimedia Speaker System.,,,,,,,,,,"[""Powerful 100W Multimedia Speaker System:\nEnjoy your favourite content with enhanced sound and powerful bass with this Multimedia Speaker System.\n""]"
SA-RS3S,None,None,"['Rs.35,9901']",4,18,"['https://www.sony.co.in/image/aa15a6c5b769c8868d27fd334b72c8b1?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/5f8ad349e892887206efea6a020d6f48?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b84ced813dd3171fd0a23cafa0dd6402?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b5eae2d9c1e00772e1071b1ae2638ec1?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/f291da43f90d42faa6e38d512f6deb58?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b99788536dc9dc3eed5aa1787fa9cb94?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']",SA-RS3S Total 100Â W Additional Wireless Rear Speakers,"[""Boost your surround sound experience:\nhe HT-A7000 and HT-A5000 soundbars already offer immersive sound with a wider sweet spot so all the family can share the experience. Add the SA-RS3S wireless rear speakers and you’ll enjoy even more authentic home entertainment with sound behind and all around you.\n""]","['Optional wireless rear speakers for your soundbar ', 'Total 100 W power output brings music and films to life ', 'Two-way speakers for clear, expansive sound ', 'Wall mountable ']",['Optional Speakers'],Home Theatre and Sound bars,Audio,,,['Optional Speakers'],,,,Boost your surround sound experience,he HT-A7000 and HT-A5000 soundbars already offer immersive sound with a wider sweet spot so all the family can share the experience. Add the SA-RS3S wireless rear speakers and you’ll enjoy even more authentic home entertainment with sound behind and all around you.,,,,,,,,,,"[""Boost your surround sound experience:\nhe HT-A7000 and HT-A5000 soundbars already offer immersive sound with a wider sweet spot so all the family can share the experience. Add the SA-RS3S wireless rear speakers and you’ll enjoy even more authentic home entertainment with sound behind and all around you.\n""]"
SA-RS5,None,None,"['Rs.57,9901']",4.5,18,"['https://www.sony.co.in/image/7e2141db9f0a828de831d98dbdf194a2?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/80167e125bd61fb7d0c2a06df5af4a50?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/1218c3a03ef3d76ef0b65653083dced8?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/3c3bfd2fdf5dfc806ddd2099f686d879?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/ad23b101c48b44d3bf88ff2a5deedd08?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/c625a835b1aeca0f5e1e54e28ee810ba?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']",SA-RS5 Total 180W Additional Wireless Rear Speakers with Built-in Battery,"[""Experience 360 Spatial Sound with your soundbar:\nThe SA-RS5 speakers work with our latest compatible soundbars using up-firing speakers and wide directivity woofers for 360 Spatial Sound Mapping to create multiple phantom speakers around your room. When you’re surrounded on all sides by multiple phantom speakers within an optimised sound field, you’ll hear every sound with incredible intensity. It’s like you and your living room are inside the movie.\n""]","['Optional wireless rear speakers for your soundbar supporting 360 Spatial Sound Mapping ', '10 hours of battery life and quick charging ', 'Built-in mics for Sound Field Optimisation ', 'Two-way speakers for clear, expansive sound ', 'Wall mountable ']",['Optional Speakers'],Home Theatre and Sound bars,Audio,,,['Optional Speakers'],,,,Experience 360 Spatial Sound with your soundbar,"The SA-RS5 speakers work with our latest compatible soundbars using up-firing speakers and wide directivity woofers for 360 Spatial Sound Mapping to create multiple phantom speakers around your room. When you’re surrounded on all sides by multiple phantom speakers within an optimised sound field, you’ll hear every sound with incredible intensity. It’s like you and your living room are inside the movie.",,,,,,,,,,"[""Experience 360 Spatial Sound with your soundbar:\nThe SA-RS5 speakers work with our latest compatible soundbars using up-firing speakers and wide directivity woofers for 360 Spatial Sound Mapping to create multiple phantom speakers around your room. When you’re surrounded on all sides by multiple phantom speakers within an optimised sound field, you’ll hear every sound with incredible intensity. It’s like you and your living room are inside the movie.\n""]"
